1,02,08,10,13,27,30,39
2,01,09,16,20,21,43,05
3,01,05,15,31,36,38,13
4,16,18,26,27,34,40,13
5,09,15,21,23,27,28,43
6,06,12,23,25,28,38,22
7,07,19,21,23,33,35,26
8,11,16,18,20,42,43,28
9,11,19,23,38,39,42,15
10,01,03,19,21,35,39,26
11,12,26,32,37,40,42,16
12,14,17,27,28,35,39,22
13,13,29,31,37,41,42,17
14,02,08,11,35,37,38,43
15,04,06,11,20,21,28,36
16,05,12,13,29,34,35,30
17,14,20,25,34,35,36,11
18,06,16,18,27,36,41,33
19,04,08,12,30,33,43,14
20,07,29,33,35,37,39,19
21,05,07,13,19,38,41,42
22,08,12,16,19,20,35,41
23,07,10,28,32,33,40,13
24,15,18,19,30,36,38,13
25,11,32,34,37,40,43,08
26,03,04,11,12,13,43,22
27,04,08,20,30,33,38,10
28,06,11,15,20,31,41,07
29,08,12,20,35,37,40,33
30,04,16,17,19,26,37,08
31,07,18,22,25,28,43,04
32,03,06,07,23,29,41,33
33,08,17,22,25,29,41,13
34,02,20,25,30,37,40,10
35,03,05,13,30,32,41,28
36,01,16,20,23,30,40,17
37,03,05,09,17,21,41,26
38,02,09,26,27,34,43,42
39,10,18,22,25,39,42,17
40,05,17,25,34,38,39,02
41,18,21,27,33,36,38,23
42,04,15,21,24,33,37,09
43,01,02,03,15,24,26,27
44,03,16,24,31,34,42,36
45,07,09,28,32,36,38,08
46,11,14,21,24,25,42,41
47,03,11,14,25,27,31,22
48,02,05,28,30,33,40,26
49,02,13,21,31,32,41,35
50,05,13,15,25,27,39,40
51,07,15,24,37,38,41,34
52,01,16,24,25,36,42,21
53,02,15,23,37,40,43,25
54,14,25,26,31,37,42,07
55,11,12,13,14,37,39,28
56,10,13,25,31,32,42,40
57,02,14,22,27,35,42,34
58,04,08,09,13,16,25,28
59,09,15,17,30,32,41,31
60,20,21,23,28,30,42,29
61,04,08,22,25,27,28,06
62,02,03,09,12,15,30,42
63,11,16,20,28,34,40,22
64,02,14,19,22,32,41,09
65,02,10,22,23,31,43,28
66,07,15,17,30,33,35,14
67,01,04,06,11,18,25,03
68,16,23,30,35,37,39,38
69,01,09,31,35,40,41,14
70,06,11,20,23,24,31,17
71,01,10,11,13,19,20,03
72,10,12,24,29,33,37,34
73,01,06,15,19,27,36,25
74,03,14,27,28,40,43,39
75,02,04,09,19,23,31,18
76,01,10,12,16,20,35,29
77,05,10,15,28,37,38,13
78,05,14,23,32,33,43,37
79,20,22,27,32,36,43,23
80,01,04,12,16,19,34,18
81,01,11,15,23,26,27,41
82,10,12,19,25,26,39,28
83,01,16,21,28,35,37,30
84,17,19,26,28,35,37,40
85,05,13,18,22,23,32,28
86,03,07,16,24,29,36,26
87,03,08,12,36,39,41,10
88,05,06,08,20,21,26,30
89,03,13,23,30,35,43,21
90,13,15,17,18,30,32,09
91,13,15,17,26,41,43,06
92,05,17,20,24,28,40,16
93,10,23,33,36,37,41,28
